srcYear,srcMonth,Month_Year,srcStateName,Ration card holders under National Food Security Act ( NFSA ),Ration cards involved in the Transactions under National Food Security Act ( NFSA ),Electronic Point of Sale ( EPOS ) transactions under National Food Security Act ( NFSA ),Aadhar based Biometric transactions,Aadhar based Integrated Risk Information System ( IRIS ) transactions,Aadhar based One Time Password ( OTP ) transactions,Total Aadhaar based transactions,Total Aadhaar transactions (%),Transactions authenticated by The Public Distribution System ( PDS ) and One Time Password ( OTP ),Transactions authenticated by modes other than One Time Password (OTP ),Authenticated Transactions by other mode,Authenticated transactions by other Mode (%),Non-Authenticated Transactions,Non-Authenticated transactions (%),YearCode,Year,MonthCode,Month
2017,August,Aug-2017,Dadra & Nagar Haveli,33546,0,30470,14825,0,0,14825,48,0,0,0,0,15645,51,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017"
2017,August,Aug-2017,Chhattisgarh,5334093,0,6134455,883468,0,0,883468,14,441734,0,441734,7,4809253,78,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017"
2017,August,Aug-2017,Bihar,24619,0,159,0,0,0,0,0,0,0,0,0,159,100,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017"
2017,August,Aug-2017,Andhra Pradesh,9621253,0,25995845,17315878,0,0,17315878,66,8657939,0,8657939,33,22028,0,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017"
2017,September,Sep-2017,Telangana,5021211,0,5103120,3402080,0,0,3402080,66,1701040,0,1701040,33,0,0,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
2017,September,Sep-2017,Tamil Nadu,9925362,0,11875403,0,0,0,0,0,0,0,0,0,11875403,100,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
2017,September,Sep-2017,Sikkim,96682,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
2017,September,Sep-2017,Rajasthan,10590069,0,8667127,7969295,0,0,7969295,91,586015,0,586015,6,111817,1,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
2017,September,Sep-2017,Odisha,8590813,0,16211737,5690534,0,0,5690534,35,2845267,0,2845267,17,7675936,47,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
2017,September,Sep-2017,Madhya Pradesh,11176708,0,676924,0,0,0,0,0,0,0,0,0,676924,100,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
2017,September,Sep-2017,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
2017,September,Sep-2017,Karnataka,10656272,0,21662367,14441578,0,0,14441578,66,7220789,0,7220789,33,0,0,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
2017,September,Sep-2017,Jharkhand,5631986,0,8069541,5327602,0,0,5327602,66,2663801,0,2663801,33,78138,0,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
2017,September,Sep-2017,Himachal Pradesh,683242,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
2017,September,Sep-2017,Haryana,2075709,0,3281079,2187386,0,0,2187386,66,1093693,0,1093693,33,0,0,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
2017,September,Sep-2017,Gujarat,6423852,0,15449085,9871896,0,0,9871896,63,4935948,0,4935948,31,641241,4,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
2017,September,Sep-2017,Goa,138698,0,133,74,0,0,74,55,37,0,37,27,22,16,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
2017,September,Sep-2017,Delhi,33216,0,33790,21446,0,0,21446,63,10723,0,10723,31,1621,4,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
2017,September,Sep-2017,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
2017,September,Sep-2017,Dadra & Nagar Haveli,33031,31386,31429,24021,0,0,24021,76,0,0,0,0,7408,23,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
2017,September,Sep-2017,Chhattisgarh,5316675,0,5417649,835906,0,0,835906,15,417953,0,417953,7,4163790,76,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
2017,September,Sep-2017,Bihar,0,0,8,0,0,0,0,0,0,0,0,0,8,100,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
2017,September,Sep-2017,Andhra Pradesh,9621553,0,24497703,16331802,0,0,16331802,66,8165901,0,8165901,33,0,0,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
2017,September,Sep-2017,Andaman & Nicobar Islands,7347,0,168270,112180,0,0,112180,66,56090,0,56090,33,0,0,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
2017,October,Oct-2017,Uttar Pradesh,33704016,1201061,3367724,2519632,0,0,2519632,74,0,0,0,0,848092,25,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
2017,October,Oct-2017,Telangana,5021907,2375137,2375137,2375137,0,0,2375137,100,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
